component_id,name,observed_version,audited_actual_product,current_gt_cpe,risk_flags,official_product_boundary,cpe_title_summary,cpe_reference_summary,nvd_usage_summary,nvd_representative_case_review,product_boundary_status,version_space_status,audit_status,audit_reason,evidence_strength
199625,curl,8.11.0-23.2,curl,cpe:2.3:a:haxx:curl:8.11.0:*:*:*:*:*:*:*,"[""UMBRELLA_PROJECT_SUBPRODUCT"", ""CLI_VS_LIBRARY"", ""MIXED_NVD_USAGE""]",The curl project explicitly distinguishes the curl command-line product from the libcurl library; /usr/bin/curl maps to the curl family.,Haxx Curl | Haxx Curl 4.9 | Haxx Curl 6.0,http://curl.haxx.se/ | https://github.com/CVEProject/cvelist/blob/master/2022/27xxx/CVE-2022-27774.json | https://hackerone.com/reports/1543773 | https://nvd-admin.nist.gov/admin/consoles/client/index.webadmin.html#/vuln/detail/CVE-2017-2628?tab=REFERENCES,occurrences=823; CVEs=161; distinct criteria=146; configuration AND/OR/unset=18/0/805; node AND/OR=0/823; ranged=137; MIXED_NVD_USAGE: representative fixed-Snapshot cases under haxx:curl describe libcurl. This is not used to infer the installed CLI boundary; official curl/libcurl separation and the distinct Dictionary families control the mapping.,"[{""cve_id"": ""CVE-2026-9547"", ""description"": ""When a libcurl-based application performs transfers via `SCP://` or `SFTP://`\nand utilizes the `CURLOPT_SSH_KEYFUNCTION` callback, it may silently accept an\nuntrusted server. This vulnerability occurs when a server presents a host key\ntype that does not match the specific key type already recorded for that host\nin the `known_hosts` file. Instead of rejecting the mismatch, the callback\nmechanism fails to properly enforce the restriction, allowing the connection\nto succeed without warning and risking a potential man-in-the-middle attack."", ""references"": [""https://curl.se/docs/CVE-2026-9547.html"", ""https://curl.se/docs/CVE-2026-9547.json"", ""https://hackerone.com/reports/3751712"", ""https://hackerone.com/reports/3751712""]}, {""cve_id"": ""CVE-2026-9546"", ""description"": ""A vulnerability in libcurl caused the HTTP `Referer:` header to persist even\nwhen explicitly cleared. While the documentation states that passing NULL to\n`CURLOPT_REFERER` suppresses the header, the option failed to clear the\ninternal state. As a result the previous referrer string was erroneously\nreused and sent in subsequent requests, potentially leaking sensitive\ninformation to unintended servers."", ""references"": [""https://curl.se/docs/CVE-2026-9546.html"", ""https://curl.se/docs/CVE-2026-9546.json"", ""https://hackerone.com/reports/3754343"", ""https://hackerone.com/reports/3754343""]}, {""cve_id"": ""CVE-2026-9545"", ""description"": ""In this scenario, libcurl first uses a proper HTTP/3 server for the initial\ntransfers, and when it makes a second transfer to the same site it has been\nreplaced by the attacker's impostor machine - without a valid certificate.\n\nWhen libcurl returns to the hostname the second time with a cached SSL session\n(`CURLOPT_SSL_SESSIONID_CACHE` is not disabled) and early data enabled (the\n`CURLSSLOPT_EARLYDATA` bit is set in `CURLOPT_SSL_OPTIONS`), libcurl might\nsend off the second request's bytes on that new connection *before* enforcing\nthe certificate verification failure. Potentially leaking sensitive\ninformation."", ""references"": [""https://curl.se/docs/CVE-2026-9545.html"", ""https://curl.se/docs/CVE-2026-9545.json"", ""https://hackerone.com/reports/3752888"", ""https://hackerone.com/reports/3752888""]}]",SAME_PRODUCT,ALIGNED,KEEP,The curl project explicitly distinguishes the curl command-line product from the libcurl library; /usr/bin/curl maps to the curl family. curl and libcurl use the 8.11.0 upstream release; 23.2 is packaging data.,MODERATE
199653,davici,1.4-1,davici,cpe:2.3:a:strongswan:davici:1.4:*:*:*:*:*:*:*,"[""UMBRELLA_PROJECT_SUBPROJECT"", ""LIBRARY_PRODUCT""]","davici is the separately released Decoupled Asynchronous VICI client library under the strongSwan organization, and has a direct davici CPE family.",strongSwan davici 0.1 | strongSwan davici 1.0 | strongSwan davici 1.1,https://github.com/strongswan/davici | https://www.strongswan.org/,occurrences=0; CVEs=0; distinct criteria=0; configuration AND/OR/unset=0/0/0; node AND/OR=0/0; ranged=0,[],SAME_PRODUCT,ALIGNED,KEEP,"davici is the separately released Decoupled Asynchronous VICI client library under the strongSwan organization, and has a direct davici CPE family. The package release 1.4-1 identifies upstream davici 1.4 plus package release 1.",STRONG
199663,ethtool,5.10-1,ethtool,cpe:2.3:a:kernel:ethtool:5.10:*:*:*:*:*:*:*,"[""VENDOR_LABEL_DIFFERS"", ""USERSPACE_TOOL_IN_KERNEL_NAMESPACE""]",ethtool is a separately released userspace networking utility hosted by kernel.org; the kernel:ethtool CPE references that release archive.,Kernel Ethtool 2.6.33 | Kernel Ethtool 2.6.34 | Kernel Ethtool 2.6.35,https://cdn.kernel.org/pub/software/network/ethtool | https://www.kernel.org/pub/software/network/ethtool/,occurrences=0; CVEs=0; distinct criteria=0; configuration AND/OR/unset=0/0/0; node AND/OR=0/0; ranged=0,[],SAME_PRODUCT,ALIGNED,KEEP,ethtool is a separately released userspace networking utility hosted by kernel.org; the kernel:ethtool CPE references that release archive. The kernel.org archive uses ethtool 5.10; 1 is the package release.,STRONG
199665,exfat-mkfs,1.1.3-4,exfatprogs,cpe:2.3:a:namjaejeon:exfatprogs:1.1.3:*:*:*:*:*:*:*,"[""PACKAGE_NAME_DIFFERS"", ""UTILITY_WITHIN_PRODUCT""]",exfat-mkfs is the mkfs utility built by the exfatprogs upstream project and the CPE family directly names exfatprogs.,Namjae Jeon exfatprogs for WordPress | Namjae Jeon exfatprogs 1.0.1 for WordPress | Namjae Jeon exfatprogs 1.0.2 for WordPress,https://github.com/exfatprogs/exfatprogs/tags | https://github.com/exfatprogs/exfatprogs/releases,occurrences=1; CVEs=1; distinct criteria=1; configuration AND/OR/unset=0/0/1; node AND/OR=0/1; ranged=1,[],SAME_PRODUCT,ALIGNED,KEEP,exfat-mkfs is the mkfs utility built by the exfatprogs upstream project and the CPE family directly names exfatprogs. The project release is 1.1.3 and 4 is package release data.,STRONG
199683,ip-full,5.19.0-8,iproute2,cpe:2.3:a:iproute2_project:iproute2:5.19.0:*:*:*:*:*:*:*,"[""DISTRIBUTION_PACKAGE_ALIAS"", ""UTILITY_WITHIN_PRODUCT""]",ip-full is OpenWrt's full ip utility package from the iproute2 source product; it is not a separate upstream product.,Iproute2 Project Iproute2 - | iproute 2 3.0.0 | iproute 2 3.1.0,https://launchpad.net/ubuntu/+source/iproute2/+changelog | http://git.kernel.org/cgit/linux/kernel/git/shemminger/iproute2.git/ | http://cdn.kernel.org/pub/linux/utils/net/iproute2/ | http://www.linuxfoundation.org/collaborate/workgroups/networking/iproute2,occurrences=4; CVEs=2; distinct criteria=3; configuration AND/OR/unset=0/0/4; node AND/OR=0/4; ranged=2,[],SAME_PRODUCT,ALIGNED,KEEP,ip-full is OpenWrt's full ip utility package from the iproute2 source product; it is not a separate upstream product. 5.19.0 is the iproute2 upstream release and 8 is the package release.,STRONG
199691,iw-515,5.19-1,iw,cpe:2.3:a:kernel:iw:5.19:*:*:*:*:*:*:*,"[""DISTRIBUTION_PACKAGE_ALIAS"", ""USERSPACE_TOOL_IN_KERNEL_NAMESPACE""]",iw-515 is a distribution package name for the upstream iw userspace wireless utility; the kernel:iw CPE references the same release archive.,Kernel iw 0.9 | Kernel iw 0.9.1 | Kernel iw 0.9.10,http://wireless.kernel.org/en/users/Documentation/iw | https://cdn.kernel.org/pub/software/network/iw,occurrences=0; CVEs=0; distinct criteria=0; configuration AND/OR/unset=0/0/0; node AND/OR=0/0; ranged=0,[],SAME_PRODUCT,ALIGNED,KEEP,iw-515 is a distribution package name for the upstream iw userspace wireless utility; the kernel:iw CPE references the same release archive. The upstream iw release is 5.19 and 1 is package release data.,STRONG
199845,libc,1.2.4-3,musl,cpe:2.3:a:musl-libc:musl:1.2.4:*:*:*:*:*:*:*,"[""GENERIC_PACKAGE_NAME"", ""LIBRARY_PRODUCT""]","The firmware loader/libc payload identifies musl rather than a generic libc product, and the CPE family directly identifies musl.",musl-libc musl 0.5.0 Alpha | musl-libc musl 0.5.9 Alpha | musl-libc musl 0.6.0 Alpha,http://www.musl-libc.org/oldversions.html | http://git.musl-libc.org/cgit/musl/refs/tags | https://musl.libc.org/ | https://musl.libc.org/releases.html,occurrences=20; CVEs=6; distinct criteria=16; configuration AND/OR/unset=0/0/20; node AND/OR=0/20; ranged=6,[],SAME_PRODUCT,ALIGNED,KEEP,"The firmware loader/libc payload identifies musl rather than a generic libc product, and the CPE family directly identifies musl. The official release history identifies musl 1.2.4; 3 is package release data.",STRONG
199847,libcap-ng,0.8.1-1,libcap-ng,cpe:2.3:a:libcap-ng_project:libcap-ng:0.8.1:*:*:*:*:*:*:*,"[""SIMILAR_PRODUCT_NAMES"", ""LIBRARY_PRODUCT""]","The installed libcap-ng library is the direct libcap-ng upstream product, distinct from libcap.",libcap-ng Project libcap-ng 0.6.5 | libcap-ng Project libcap-ng 0.6.6 | libcap-ng Project libcap-ng 0.7,https://github.com/stevegrubb/libcap-ng/releases | http://people.redhat.com/sgrubb/libcap-ng/,occurrences=0; CVEs=0; distinct criteria=0; configuration AND/OR/unset=0/0/0; node AND/OR=0/0; ranged=0,[],SAME_PRODUCT,ALIGNED,KEEP,"The installed libcap-ng library is the direct libcap-ng upstream product, distinct from libcap. 0.8.1 is the upstream release and 1 is package release data.",MODERATE
199848,libcap,2.69-1,libcap,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,"[""LIBRARY_PRODUCT""]",The installed capability library and the libcap family are the same upstream product.,libcap Project libcap 2.00 | libcap Project libcap 2.01 | libcap Project libcap 2.02,https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2 | http://sites.google.com/site/fullycapable/ | https://git.kernel.org/pub/scm/libs/libcap/libcap.git/about/ | https://sites.google.com/site/fullycapable/release-notes-for-libcap,occurrences=3; CVEs=3; distinct criteria=3; configuration AND/OR/unset=0/0/3; node AND/OR=0/3; ranged=1,[],SAME_PRODUCT,ALIGNED,KEEP,The installed capability library and the libcap family are the same upstream product. The official archive contains libcap 2.69; 1 is package release data.,STRONG
199849,libcares,1.19.1-2,c-ares,cpe:2.3:a:c-ares:c-ares:1.19.1:*:*:*:*:*:*:*,"[""PACKAGE_NAME_DIFFERS"", ""LIBRARY_PRODUCT""]",libcares is the distribution package for the c-ares asynchronous DNS library and the CPE directly names c-ares.,c-ares  | c-ares 1.0.0 | c-ares 1.1.0,https://c-ares.org/ | https://c-ares.org/changelog.html | https://github.com/c-ares/c-ares/issues/333 | https://github.com/c-ares/c-ares/security/advisories/GHSA-9g78-jv2r-p7vc,occurrences=33; CVEs=6; distinct criteria=28; configuration AND/OR/unset=0/0/33; node AND/OR=0/33; ranged=2,[],SAME_PRODUCT,ALIGNED,KEEP,libcares is the distribution package for the c-ares asynchronous DNS library and the CPE directly names c-ares. 1.19.1 is the upstream release and 2 is package release data.,MODERATE
