check_id,area,requirement,observed,status,evidence,limitation
DATA-01,Fixed input,Firmware identity and hash are fixed,"Unitronics UCR-ST-B8 52.07.13.7; SHA-256 6fe59fb6e3fa2883bc96faa1488f9de56c5ecd5324f2d2c68ec5364b315ed81c",PASS,candidate summary,
DATA-02,Fixed input,SBOM identity and hash are fixed,"SBOMDocument 1364; 582 rows; SHA-256 61602e128acb7cdc378bdd868da489100bfb8f3dc587f0f12c5cf08cb26dd13e",PASS,candidate summary,
DATA-03,Fixed input,CPE snapshot is explicit and COMPLETE,20260819T035002Z,PASS,candidate command and snapshot selector,
DATA-04,Fixed input,NVD snapshot is explicit and COMPLETE,20260820T110357Z,PASS,candidate command and snapshot selector,
DATA-05,Fixed input,Source revision is identifiable,903505548cc4349d9213c70b404d4a7d9ed0c28d,PASS,git revision recorded by methodology audit,
METH-01,Method,Product and version precede CPE lookup,ProductJudgment is constructed before CandidateCpeResolver.map_row,PASS,candidate builder,
METH-02,Method,Original CPE is excluded from GT evidence,Used only after independent expression for result/discrepancy comparison,PASS,candidate builder and audit Pass A,
METH-03,Method,Firmware control CPE-ID is excluded from GT evidence,Input count is zero,PASS,candidate and audit guardrails,
METH-04,Method,Same Source does not imply parent CPE,404 bounded subcomponents explicitly stop parent inheritance,PASS,components.csv and runtime rulebook,
METH-05,Method,Library/CLI/split package is evaluated by product boundary,Product-specific payload and upstream evidence are used,PASS,candidate builder and rulebook,
VER-01,Version,Package suffix removal is evidence-specific,No global hyphen stripping rule is used,PASS,version rulebook and candidate builder,
VER-02,Version,Prerelease state is preserved,"2.11-devel -> version=2.11 update=devel",PASS,prerelease policy and candidate row 200198,
VER-03,Version,Family practice gates MOVE_TO_UPDATE,Comparable Active preN update rows are required,PASS,prerelease resolver and policy artifact,
CPE-01,CPE resolution,Active exact is checked first,Compatible Active exact precedes all other branches,PASS,CandidateCpeResolver.map_row,
CPE-02,CPE resolution,Deprecated exact is traversed before family fallback,Full deprecatedBy graph is resolved,PASS,CandidateCpeResolver.map_row and mapping boundaries,
CPE-03,CPE resolution,Multiple replacements are not first-edge selected,All branches retained; multiple endpoints require review,PASS,mapping boundaries and boundary tests,
CPE-04,CPE resolution,Deprecated final GT is prohibited,Final Deprecated GT count is zero,PASS,candidate and audit summaries,
CPE-05,CPE resolution,Stable family template is unique and evidence-compatible,Multiple/no templates block generation,PASS,resolve_stable_template and boundary tests,
CPE-06,CPE resolution,Version Not Registered preserves verified version,"22 rows; 17 update=*; 4 update=-; 1 update=devel",PASS,candidate and audit rows,
CPE-07,CPE resolution,Version Not Registered has family and no exact entry,All 22 have Active family count >0 and Active exact count 0,PASS,audit_results.csv,
CFG-01,Configuration gate,Active and Deprecated family must both be absent,Gate violations are zero,PASS,candidate configuration artifact and boundary tests,
CFG-02,Configuration gate,No CVE applicability is evaluated,NVD Configuration Only count is zero and range evaluation is out of scope,PASS,candidate guardrails,
RES-01,Result partition,All 582 components have one CPE Validation Result,"2+24+22+0+529+5=582",PASS,candidate summary,
RES-02,No Direct CPE Found,Bounded subcomponent cause is traceable,404 rows use NON_DIRECT_SUBCOMPONENT,PASS,components.csv,
RES-03,No Direct CPE Found,Verified-product/no-representation cause is traceable,"123 NO_CPE_REPRESENTATION plus 2 family ambiguity rows",PASS,components.csv,
RES-04,Unable to Determine,Insufficient product/version evidence remains conservative,"libmodbus shellinabox wpad-openssl",PASS,unresolved.csv,
RES-05,Unable to Determine,Result definition covers every observed cause,Two libnl rows have confirmed product/version but multiple CPE templates,PASS_WITH_LIMITATION,unresolved.csv,Clarify definition before DB application
CAN-01,Canonicalization,All fixed Dictionary formatted strings parse,1811261 of 1811261 valid,PASS,boundary summary,
CAN-02,Canonicalization,Eleven fields ANY NA escapes and round-trip are tested,52 relevant tests pass,PASS,canonical and boundary tests,
CAN-03,Canonicalization,Percent-encoded URI is not conflated with formatted string,URI form is explicitly rejected at this parser boundary,PASS_WITH_LIMITATION,canonical parser and tests,Explicit binding conversion is required for URI input
AUD-01,Independent validation,CPE-bearing scope is complete,48 unique rows,PASS,audit summary,
AUD-02,Independent validation,Pass A excludes circular inputs,Original/control/current GT/current result input counts are zero,PASS,audit summary,
AUD-03,Independent validation,All CPE-bearing rows are accepted,"48 ACCEPTED; 0 corrections; 0 evidence reviews",PASS,audit summary,
AUD-04,Independent validation,Audit is not overstated as an inter-rater study,Two-pass independent review is evidenced,PASS_WITH_LIMITATION,audit implementation,No reviewer identity or inter-rater record exists
PROV-01,Evidence traceability,CPE-bearing row provenance is complete,Zero blank audited product/version/evidence/ref/path fields,PASS,components.csv and audit_results.csv,
PROV-02,Evidence traceability,No Direct CPE Found provenance is complete,Zero blank core reason/evidence/path fields across 529 rows,PASS,components.csv,
PROV-03,Evidence traceability,Local evidence is content-addressed,11 of 11 local manifest rows have SHA-256,PASS,evidence_manifest.csv,
